Episodio,Agente,Manzanas,Pasos,Tiempo,Motivo
1,A*,23,209,41.84385479998309,no_action
1,A*,35,268,53.554845899983775,max_apples
1,A*,33,248,49.518062300019665,no_action
1,A*,29,233,46.56306310000946,no_action
1,A*,35,328,65.58285119998618,max_apples
1,A*,32,246,49.18624059998547,no_action
1,A*,1,10,1.8043138000066392,wall
1,A*,1,8,1.4082848000107333,wall
1,A*,25,157,31.352032599999802,no_action
1,A*,1,9,1.7722248999925796,wall
1,A*,1,8,1.4049514000071213,wall
1,A*,1,7,1.2031365000002552,wall
1,A*,1,7,1.2059728000022005,wall
1,A*,29,225,44.963731499999994,no_action
1,A*,26,196,10.002050000000054,no_action
1,A*,17,125,24.87458080000033,no_action
1,A*,25,193,9.85051969999995,no_action
1,A*,23,163,32.5400239999999,no_action
1,A*,35,258,25.78104279999934,done
1,Modelo,1,1000,100.29385290000027,max_steps
1,A*,35,311,31.16768459999912,done
1,A*,13,81,8.090306999999484,no_action
1,A*,20,174,17.431336999998166,no_action
1,A*,29,253,25.322348599998804,no_action
1,A*,34,291,29.136854700002004,no_action
1,Modelo,1,1000,100.42883490000168,max_steps
1,A*,35,248,24.779031100002612,done
1,A*,31,246,24.644492999999784,no_action
1,A*,27,236,23.660684900001797,no_action
1,A*,25,198,19.851578199999494,no_action
1,A*,23,167,16.68963950000034,no_action

1,A*,26,205,20.560931299987715,no_action
1,A*,20,163,16.299455000000307,no_action
1,A*,32,270,27.037030599996797,no_action
1,Modelo,0,1000,100.36729879998893,max_steps
1,A*,35,272,27.158828200001153,done
1,Modelo,15,1000,100.2897163000016,max_steps
1,A*,32,302,30.31195089999528,no_action
1,Modelo,0,1000,100.4275146,max_steps
1,A*,35,251,25.136915700000827,done
1,Modelo,4,1000,100.5088354999898,max_steps
1,A*,19,170,17.00842339999508,no_action
1,Modelo,0,1000,100.23501240000769,max_steps
1,A*,32,263,26.334242699987954,no_action
1,Modelo,1,1000,100.26536969999142,max_steps
1,A*,34,300,30.110273199999938,no_action
